id,project_id,project_q,sort_order,title,person_q,class_q,first_name,last_name,role,role_wiki,start_date,end_date,website_urls
105,31,Q130247057,5,Evelyne Temperli: Anna-Sabina Zürrer: beide: Kuration Mitarbeit:,,,,,"Finanzen, Sponsoring, Kuration",P767,,,"
"
106,31,Q130247057,6,Sabine Halter,Q130252575,Q5,Sabine,Halter,Apéro,P767,,,"
"
107,32,Q61953337,1,Joëlle Valterio,Q112063720,Mensch,Joëlle,Valterio,Vorstandsmitglied,P767,,,"
"
108,32,Q61953337,2,Angela Hausheer,Q112041251,Mensch,Angela,Hausheer,Vorstandsmitglied,P767,,,"
"
109,32,Q61953337,3,Chris Regn,Q47516852,Mensch,Chris,Regn,Vorstandsmitglied,P767,,,"
"
110,32,Q61953337,4,Judith Huber,Q84736906,Mensch,Judith,Huber,Vorstandsmitglied,P767,,,"
"
111,32,Q61953337,5,Hansjörg Pfister-Köfler,Q111772246,Mensch,,,Vorstandsmitglied,P767,,,"
"
112,32,Q61953337,6,Pascale Grau,Q84314435,Mensch,Pascale,Grau,Vorstandsmitglied,P767,,,"
"
113,33,Q130247058,1,Roy Hofer,Q130252543,Q5,Roy,Hofer,Leiter,P767,,,"
"
114,33,Q130247058,2,Nadja Borer,Q130252544,Q5,Nadja,Borer,Kuratorin,P767,,,"
"
115,33,Q130247058,3,Bettina Costa,Q130252546,Q5,Bettina,Costa,Kuratorin,P767,,,"
"
116,33,Q130247058,4,Manuela Zeiter,Q130253218,Q5,Manuela,Zeiter,Kuratorin,P767,,,"
"
117,33,Q130247058,5,Marina Lutz,Q130253221,Q5,Marina,Lutz,Kuratorin,P767,,,"
"
118,33,Q130247058,6,Genya Krikova,Q130253222,Q5,Genya,Krikova,Kuratorin,P767,,,"
"
119,34,Q130247059,1,Lorenzo le kou Meyr,Q130253223,Q5,,,Betreiber,P767,,,"
"
120,35,Q130247060,1,Cyril Hübscher,Q130253224,Q5,Cyril,Hübscher,,P767,,,"
"
121,35,Q130247060,2,Lea Rüegg,Q130253225,Q5,Lea,Rüegg,,P767,,,"
"
122,35,Q130247060,3,Raphaela Grolimund,Q130253226,Q5,Raphaela,Grolimund,,P767,,,"
"
123,35,Q130247060,4,Yanik Soland,Q130253227,Q5,Yanik,Soland,,P767,,,"
"
124,36,Q99043781,1,Rudolf Steiner,Q99040985,Q5,Rudolf,Steiner,,P767,,,"
"
125,36,Q99043781,2,Barbara Meyer Cesta,Q85100290,Mensch,Barbara,Meyer Cesta,,P767,,,"
"
126,37,Q130247062,1,Achim Schroeteler,Q130253229,Q5,Achim,Schroeteler,,P767,,,"
"
127,37,Q130247062,2,Charles Moser,Q69523888,Mensch,Charles,Moser,,P767,,,"
"
128,37,Q130247062,3,Daniella Tuzzi,Q85103693,Mensch,Daniella,Tuzzi,,P767,,,"
"
129,37,Q130247062,4,Regula Bühler-Schlattler,Q130253232,Q5,Regula,Bühler-Schlattler,,P767,,,"
"
130,37,Q130247062,5,Silvan Baer,Q115556300,Mensch,Silvan,Baer,,P767,,,"
"
131,37,Q130247062,6,Miranda Fierz,Q130253233,Q5,Miranda,Fierz,,P767,,,"
"
132,37,Q130247062,7,Stella Pfeiffer,Q113789162,Mensch,Stella,Pfeiffer,,P767,,,"
"
133,37,Q130247062,8,Brigitta Würsch,Q130253235,Q5,Brigitta,Würsch,,P767,,,"
"
134,37,Q130247062,9,Pascale Eiberle,Q130253236,Q5,Pascale,Eiberle,,P767,,,"
"
135,37,Q130247062,10,Martina Denzler,Q130253237,Q5,Martina,Denzler,,P767,,,"
"
136,37,Q130247062,11,Christian Frehner,Q130253238,Q5,Christian,Frehner,,P767,,,"
"
137,37,Q130247062,12,Stephan Wittmer,Q85104311,Mensch,Stephan,Wittmer,,P767,,,"
"
138,39,Q130247064,1,Carmen Oswald,Q130253239,Q5,Carmen,Oswald,,P767,,,"
"
139,39,Q130247064,2,Felix Schwarz,Q130253240,Q5,Felix,Schwarz,,P767,,,"
"
140,40,Q130247065,1,Roli Arioli,Q130253241,Q5,Roli,Arioli,Initiant,P767,,,"
"
141,40,Q130247065,2,Petra Birchler,Q130253242,Q5,Petra,Birchler,Initiantin,P767,,,"
"
142,40,Q130247065,3,Sepp Inderbitzin,Q130253243,Q5,Sepp,Inderbitzin,Initiant,P767,,,"
"
143,41,Q130247066,1,Andreas Marti,Q130253245,Q5,Andreas,Marti,"Konzept, Organisation",P767,,,"
"
144,41,Q130247066,2,Nick Gutersohn,Q130253246,Q5,Nick,Gutersohn,"Konzept, Organisation",P767,,,"
"
145,42,Q130247067,1,Fabian Suter,Q130253247,Q5,Fabian,Suter,Vorstand (Präsident),P767,,,"
"
146,42,Q130247067,2,Nicole Schwarz,Q130253248,Q5,Nicole,Schwarz,Vorstand (Revisorin),P767,,,"
"
147,42,Q130247067,3,Eva van der Spek,Q130253249,Q5,Eva,van der Spek,Vorstand (Kassiererin),P767,,,"
"
148,43,Q130247068,1,Kate Whitebread,Q130253250,Q5,Kate,Whitebread,,P767,,,"
"
149,43,Q130247068,2,Dominik Müller,Q130253251,Q5,Dominik,Müller,,P767,,,"
"
150,45,Q130247071,1,Simon Lamunière,Q3484341,Mensch,Simon,Lamunière,"Direktor, Co-Gründer",P112,,,"
"
151,45,Q130247071,2,Christian Pirker,Q129838725,Mensch,Christian,Pirker,Co-Gründer,P112,,,"
"
152,46,Q130247073,1,Urs Suter,Q112040914,Mensch,Urs,Suter,,P767,,,"
"
153,49,Q130247077,1,Luigi Kurmann,Q130251845,Q5,Luigi,Kurmann,Gründer und Betreiber (1978-1986),P112,1978,1986,"
"
154,49,Q130247077,2,Stefan Banz,Q2335987,Mensch,Stefan,Banz,Betreiber (1987-1988),P767,1987,1988,"
"
155,50,Q130247078,1,Delphine Rivière,Q125252277,Mensch,Delphine,Rivier,,P767,,,"
"
156,50,Q130247078,2,Olga Canton Caro,Q130253253,Q5,,,,P767,,,"
"
157,50,Q130247078,3,Léonore Easton,Q130253254,Q5,Léonore,Easton,,P767,,,"
"
158,50,Q130247078,4,Leonore Veya,Q130253255,Q5,Leonore,Veya,,P767,,,"
"
159,50,Q130247078,5,Valérie Maire,Q130253256,Q5,Valérie,Maire,,P767,,,"
"
160,51,Q130247079,1,Beat Feller,Q84364340,Mensch,Beat,Feller,,P767,,,"
"
161,51,Q130247079,2,Theo Schneiter,Q130253257,Q5,Theo,Schneiter,,P767,,,"
"
162,51,Q130247079,3,Romano Manazza,Q130253258,Q5,Romano,Manazza,,P767,,,"
"
163,51,Q130247079,4,Simon Dellsberger,Q130253259,Q5,Simon,Dellsberger,,P767,,,"
"
164,53,Q130247081,1,Erwin Rehmann,Q23639367,Mensch,Erwin,Rehmann,Mitbegründer,P112,,,"
"
165,53,Q130247081,2,Renata Vogt,Q130253260,Q5,Renata,Vogt,Präsidentin (2018),P767,2018,2018,"
"
166,53,Q130247081,3,Claudia Heppeler,Q130253262,Q5,Claudia,Heppeler,stellvertr. Präsidentin (2018),P767,2018,2018,"
"
